Organization	Project	CTC enumeration with AR staining	CytoTrapNano CTC Assay	HD-SCA	MALDI-ToF Mass Spectrometry	MagMAX Cell-Free DNA Isolation KitÃ	Promega Maxwell  Blood	Promega Maxwell Tissue	QIAamp Circulating Nucleic Acid Kit	QIAsymphony	QIAsymphony automated  DSP Virus/Pathogen Midi Kit	Qiagen AllPrep	Qiagen Circulating Nucleic Acid Kit	Qiagen kit DNA extraction	Qiagen kit RNA extraction	Qiagen_cfDNA	RecoverAll Total Nucleic Acid Isolation Kit for FFPE	See Horizon Dx cfDNA Reference Standard Protocol	Serum Isolation, ELISA	Silica bead-based ctDNA isolation
AstraZeneca	AstraZeneca_P0001_T1	0	0	0	0	0	20	19	20	0	0	0	0	0	0	0	0	0	0	0
Biodesix	Biodesix_P0001_T1	0	0	0	730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CytoLumina	CytoLumina_P0001_T1	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EpicSciences	EpicSciences_P001_T1	2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FoundationMedicine	FoundationMedicine_ClinAV_T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212
GenomicHealth	GenomicHealth_P0001_T1	0	0	0	0	0	0	0	71	0	0	161	0	0	0	0	0	0	0	0
Guardant	Guardant_P0001_T1	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0
MSKCC	MSKCC_P0001_T1	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0
MSKCC	MSKCC_P0002_T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSKCC	MSKCC_P0003_T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSKCC	MSKCC_P0004_T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novartis	Novartis_Contrived1_T1	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0
Novartis	Novartis_Contrived2_T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PersonalGenome	PersonalGenome_Beta1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Provista	Provista_P0001_T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	0
ThermoFisher	ThermoFisher_P0001_T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
ThermoFisher	ThermoFisher_P0002_T1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	16	0	0	0
UAMS	UAMS_P0001_T1	0	0	0	0	0	0	0	0	0	0	0	0	40	8	0	0	0	0	0
UMich	UMich_P0001_T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0
UMich	UMich_P0002_T1	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0
USC	USC_OPT1_T1	0	0	17440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
