Organization	Project	DNA Electrophoresis	Immunohistochemistry
AstraZeneca	AstraZeneca_P0001_T1	0	0
Biodesix	Biodesix_P0001_T1	0	0
CytoLumina	CytoLumina_P0001_T1	0	35
EpicSciences	EpicSciences_P001_T1	0	160
FoundationMedicine	FoundationMedicine_ClinAV_T1	0	0
GenomicHealth	GenomicHealth_P0001_T1	0	0
Guardant	Guardant_P0001_T1	0	0
MSKCC	MSKCC_P0001_T1	40	0
MSKCC	MSKCC_P0002_T1	0	0
MSKCC	MSKCC_P0003_T1	0	0
MSKCC	MSKCC_P0004_T1	0	0
Novartis	Novartis_Contrived1_T1	0	0
Novartis	Novartis_Contrived2_T1	0	0
PersonalGenome	PersonalGenome_Beta1	0	0
Provista	Provista_P0001_T1	0	0
ThermoFisher	ThermoFisher_P0001_T1	0	0
ThermoFisher	ThermoFisher_P0002_T1	0	0
UAMS	UAMS_P0001_T1	0	0
UMich	UMich_P0001_T1	0	0
UMich	UMich_P0002_T1	0	0
USC	USC_OPT1_T1	0	2536
